"category","sub_category","job_title","province","job_location","job_company","job_industry","job_finance","job_scale","job_welfare","job_salary_range","job_experience","job_education","job_skills","create_time"
"后端开发","Java","Java-研发专家-北京","北京","北京?朝阳区?善各庄","阿里云","互联网","不需要融资","10000人以上","节日福利，餐补，定期体检，带薪年假，五险一金，绩效奖金，免费班车，年终奖","30-45K?16薪","经验不限","本科","Java,分布式经验,MySQL,Kafka,MyBatis,Redis,,","2025-04-01"
"后端开发","Java","高级Java工程师（供应链）","上海","上海?闵行区?虹桥","亚朵集团","酒店/民宿","已上市","10000人以上","年终奖，带薪年假，生日福利，绩效奖金，节日福利，团建聚餐，补充医疗保险，五险一金，有无线网","20-40K","经验不限","学历不限","Java,SpringCloud,MySQL,金蝶,星瀚,Spring","2025-04-01"
"后端开发","Java","JAVA后端开发（有GIS开发经验者优先）","北京","北京?朝阳区?亚运村","第四纪","大数据","未融资","0-20人","五险一金","7-12K","1-3年","本科","GIT,Linux,Eclipse,消息队列,容器技术,网络协议,,","2025-04-01"
"后端开发","Java","中高级java工程师","广东","深圳?南山区?科技园","艾融软件","互联网","已上市","1000-9999人","股票期权，员工旅游，五险一金，餐补，加班补助，交通补助，零食下午茶，节日福利，免费班车，带薪年假","15-19K","3-5年","本科","Java,Zookeeper,SpringCloud,Kafka,Redis,Spring,","2025-04-01"
"后端开发","Java","资深java开发工程师","上海","上海?长宁区?中山公园","上海从鲸信息技术","互联网","未融资","500-999人","五险一金","30-60K?16薪","经验不限","本科","不接受居家办公,Java,Spring,Dubbo,Elasticsearch,,,,,","2025-04-01"
"后端开发","Java","java高级研发工程师","浙江","杭州?滨江区?长河","安恒信息","信息安全","已上市","1000-9999人","补充医疗保险，零食下午茶，年终奖，五险一金，通讯补贴，员工旅游，交通补助，节日福利，带薪年假，餐补，定期体检","20-40K?15薪","3-5年","本科","Java,Spring,Linux","2025-04-01"
"后端开发","Java","java开发工程师","北京","北京?朝阳区?望京","搜放科技","人工智能","天使轮","0-20人","团建聚餐，零食下午茶，股票期权，五险一金","150-200元/天","5天/周","3个月","Java,不接受居家办公,接受实习/在校生投递,MySQL,,,","2025-04-01"
"后端开发","Java","后台开发工程师","浙江","嘉兴","麒盛科技","其他制造业","已上市","1000-9999人","员工旅游，节日福利，宿舍有空调，通讯补贴，有无线网，餐补，股票期权，工龄奖，团建聚餐，全勤奖，免费班车，定期体检，年终奖，生日福利，五险一金","9-14K?14薪","1-3年","本科","Java,MySQL,接受无前端经验/技能,MyBatis,Spring","2025-04-01"
"后端开发","Java","【阿里国际数字商业集团】高级JAVA工程师","浙江","杭州?余杭区?未来科技城","阿里巴巴集团","互联网","已上市","10000人以上","节日福利，股票期权，年终奖，员工旅游，免费班车，零食下午茶，餐补，交通补助，补充医疗保险，五险一金","25-45K?16薪","3-5年","本科","Java,不接受居家办公,分布式经验,微服务经验,,,","2025-04-01"
"后端开发","Java","中高级java","上海","上海?浦东新区?南码头","邦睿科技","计算机软件","C轮","100-499人","绩效奖金，生日福利，五险一金，加班补助，团建聚餐，交通补助，带薪年假，节日福利，通讯补贴，年终奖，住房补贴，高温补贴，定期体检，零食下午茶","13-23K","5-10年","本科","Java,分布式经验,微服务经验,SpringCloud,Redis,","2025-04-01"
"后端开发","Java","Java","上海","上海?长宁区?娄山关路","拼多多集团-PDD","互联网","已上市","1000-9999人","定期体检，节日福利，全勤奖","30-60K?18薪","经验不限","本科","JVM,Java,大数据经验,分布式经验,接受无前端经验/技能,,,","2025-04-01"
"后端开发","Java","java开发工程师","北京","北京?朝阳区?朝外","元阅科技","音乐/视频/阅读","A轮","20-99人","有无线网，五险一金，团建聚餐，带薪年假，定期体检，零食下午茶","13-20K","1-3年","本科","Java,大数据经验,分布式经验,机器学习,深度学习,,,,","2025-04-01"
